geography,geographycode,TotalDeathsPerThousand,UnsharedBungalow,UnsharedFlat,SharedDwelling,Age0To19,Age20To29,Age30To59,Age60AndAbove,GoodHealth,FairHealth,PoorHealth
Winchester,E07000094,1.63,880.26,119.24,0.5,70.76,17.16,911.15,0.93,859.76,105.96,34.28
Windsor and Maidenhead,E06000040,2.17,829.08,170.38,0.55,131.29,40.81,826.19,1.71,867.27,98.46,34.26
Wirral,E08000015,2.8,895.35,103.5,1.15,32.2,7.85,959.57,0.38,782.13,142.87,75
Woking,E07000217,1.88,821.37,178.02,0.61,147.65,48.7,801.2,2.45,863.43,102.66,33.9
Wokingham,E06000041,1.73,925.62,74.17,0.2,95.4,26.93,876.55,1.11,878.14,94.35,27.51
Wolverhampton,E08000031,2.95,862.71,135.49,1.8,132.97,29.39,836.1,1.54,771.36,156.72,71.92
Worcester,E07000237,1.77,871.56,126.42,2.02,66.48,14.52,918.31,0.69,823.63,127.82,48.55
Worthing,E07000229,1.99,750.45,244.27,5.28,72.52,20.59,905.81,1.07,803.22,144.13,52.65
Wychavon,E07000238,2.12,921.58,77.72,0.7,44.66,10.49,944.27,0.57,819.65,133.47,46.89
Wyre,E07000128,3.16,922.93,76.14,0.92,27.52,5.51,966.63,0.34,768.68,159.53,71.79
Wyre Forest,E07000239,2.54,908.1,91.16,0.73,32.09,6.79,960.87,0.26,788.07,151.89,60.05
York,E06000014,1.7,879.69,118.23,2.08,75.29,16.22,907.96,0.53,838.73,119.93,41.34
