geography,geographycode,TotalDeathsPerThousand,UnsharedBungalow,UnsharedFlat,SharedDwelling,Age0To19,Age20To29,Age30To59,Age60AndAbove,GoodHealth,FairHealth,PoorHealth
New Forest,E07000091,1.72,897.33,102.19,0.48,47.58,11.84,939.67,0.91,810.22,140.94,48.84
Newark and Sherwood,E07000175,1.94,945.46,54.29,0.25,39.47,9.38,950.79,0.36,794.1,146.96,58.94
Newcastle upon Tyne,E08000021,1.76,759.57,239.47,0.95,108.01,25.27,865.87,0.84,796.03,135.69,68.28
Newcastle-under-Lyme,E07000195,2.83,931.68,67.74,0.58,41.73,8.32,949.75,0.2,791.36,143.71,64.92
Newham,E09000025,2.42,622.36,373.16,4.48,414.77,117.31,462.91,5.01,830.62,113.12,56.26
North Devon,E07000043,0.59,890.24,108.07,1.69,35.62,8.42,955.31,0.65,802.26,141.61,56.14
North East Derbyshire,E07000038,2.75,959.27,40.71,0.02,19.67,4.55,975.55,0.22,772.15,158.89,68.95
North East Lincolnshire,E06000012,1.58,921.39,78.19,0.42,33.65,9.81,956.31,0.23,790.5,148.98,60.52
North Hertfordshire,E07000099,2.34,876.48,123.07,0.45,81.6,19.06,898.11,1.23,843.03,117.73,39.24
North Kesteven,E07000139,1.81,967.65,32.27,0.08,43.01,8.44,948.18,0.36,810.99,138.64,50.37
North Lincolnshire,E06000013,1.66,934.11,65.56,0.33,51.23,13.72,934.55,0.5,794.98,147.31,57.7
North Norfolk,E07000147,1.82,927.44,72.22,0.34,32.81,7.89,958.67,0.63,766.9,171.55,61.55
North Northamptonshire,E06000061,1.18,934.08,65.58,0.34,52.57,14.53,932.32,0.58,807.01,140.14,52.84
North Somerset,E06000024,1.64,861.14,136.96,1.9,46.03,11.51,941.96,0.5,810.79,136.6,52.61
North Tyneside,E08000022,2.15,844.89,154.84,0.26,30.42,8.86,960.43,0.28,781.8,150.18,68.02
North Warwickshire,E07000218,2.42,945.81,54.14,0.05,24.8,4.27,970.64,0.29,799.55,140.69,59.76
North West Leicestershire,E07000134,2.26,954.84,45.05,0.11,30.65,8.13,960.97,0.25,809.68,138.85,51.47
Northumberland,E06000057,2.21,929.65,70.23,0.12,22.74,5.21,971.76,0.29,782.99,153.72,63.29
Norwich,E07000148,1.51,756.95,241.02,2.04,102.13,25.94,871.17,0.76,802.89,140.52,56.59
Nottingham,E06000018,2.08,832.44,165.08,2.49,156.91,37.18,804.6,1.3,799.43,136.03,64.54
Nuneaton and Bedworth,E07000219,2.19,922.96,76.08,0.96,54.5,12.61,932.23,0.65,793.13,144.77,62.1
Oadby and Wigston,E07000135,2.87,951.36,48.6,0.04,123.89,24.8,849.21,2.1,818.07,133.95,47.98
Oldham,E08000004,2.79,927.28,72.5,0.22,98.04,18.6,882.16,1.19,784.86,145.75,69.39
Oxford,E07000178,1.15,768.95,225.73,5.31,222.19,60.09,715.36,2.36,869.65,94.27,36.08
Pendle,E07000122,2.91,954.7,45.25,0.06,90.9,16.51,891.48,1.11,780.21,150.15,69.65
Peterborough,E06000031,1.72,892.32,107.21,0.47,158.44,46.21,793.65,1.7,815.59,132.67,51.74
Plymouth,E06000026,0.81,806.48,190.24,3.28,57.5,12.99,928.99,0.53,795.42,139.46,65.12
Portsmouth,E06000044,1.73,726.28,269.12,4.6,100.24,20.99,877.97,0.8,825.33,124.18,50.49
Preston,E07000123,2.22,882.92,115.33,1.76,110.68,21.85,866.39,1.08,806.81,132.56,60.63
Purbeck,E07000051,1.51,880.07,119.39,0.54,45.18,8.49,945.92,0.4,808.91,140.97,50.12
Reading,E06000038,1.71,767.71,228.4,3.89,188.33,57.23,751.96,2.48,854.74,107.71,37.55
Redbridge,E09000026,2.93,767.62,229.96,2.42,292.76,72,630.52,4.71,831,119.98,49.02
Redcar and Cleveland,E06000003,2.33,943.77,55.53,0.7,18.57,3.6,977.67,0.17,762.92,158.67,78.41
Redditch,E07000236,2.04,895.31,103.4,1.29,65.13,13.66,920.46,0.75,816.31,129.59,54.1
Reigate and Banstead,E07000211,2.89,816.11,182.51,1.38,92.52,26.99,879.22,1.28,855.81,107.85,36.34
Ribble Valley,E07000124,2.54,942.5,57.44,0.05,30.35,5.23,964.07,0.35,836.5,123.38,40.12
Richmond upon Thames,E09000027,1.58,692.8,303.89,3.31,176.73,63.56,757.18,2.53,878.68,89.11,32.21
Richmondshire,E07000166,1.58,945.55,54.26,0.19,70.59,11.68,916,1.73,847.9,115.23,36.87
Rochdale,E08000005,2.83,913.44,86.27,0.29,90.88,19.64,888.54,0.94,776.53,147.87,75.6
Rochford,E07000075,3.22,925.11,74.65,0.24,29.96,5.87,963.8,0.37,826.77,130.06,43.18
Rossendale,E07000125,2.44,937.97,61.89,0.13,38.39,7.08,954.13,0.4,793.53,141.26,65.21
Rother,E07000064,3.85,841.38,157.72,0.9,49.71,12.87,936.36,1.06,771.5,165.14,63.35
Rotherham,E08000018,2.9,938.36,61.36,0.28,40.5,10.07,948.9,0.53,771.41,152.67,75.92
Rugby,E07000220,1.73,916.18,82.97,0.85,91.53,23.94,883.27,1.26,829.55,125.71,44.75
Runnymede,E07000212,1.93,828.37,170.09,1.54,129.2,38.69,830.73,1.38,854.18,108.89,36.93
Rushcliffe,E07000176,1.83,931.69,67.72,0.59,52.95,11.83,934.51,0.71,845.06,114.99,39.94
Rushmoor,E07000092,2.33,812.71,186.22,1.07,125.95,43.16,824.39,6.49,856.12,107.66,36.22
Rutland,E06000017,1.74,944.73,55.06,0.2,54.35,8.96,935.86,0.83,844.18,121.28,34.55
Ryedale,E07000167,1.29,951.31,48.69,0,33.1,8.06,958.49,0.35,812.18,141.62,46.2
Salford,E08000006,2.65,811.08,186.23,2.68,92.89,23.71,882.61,0.8,783.87,140.42,75.71
Sandwell,E08000028,3.13,880.78,118.51,0.72,126.87,30.57,840.71,1.85,766.93,156.09,76.97
Scarborough,E07000168,1.73,838.85,158.16,2.99,37.97,10.39,951.28,0.36,771.76,161.66,66.58
Sedgemoor,E07000188,1.54,915.81,83.58,0.61,39.4,9.77,950.4,0.42,797.07,147.75,55.18
Sefton,E08000014,2.85,882.09,115.28,2.63,33.69,8.11,957.79,0.41,778.64,148.36,73
Selby,E07000169,1.43,952.12,47.6,0.28,33.94,7.87,957.83,0.36,826.55,127.67,45.78
Sevenoaks,E07000111,2.39,904.66,94.94,0.4,62.01,18.76,918.44,0.8,845.48,114.72,39.8
Sheffield,E08000019,2.18,842.67,155.06,2.27,94.67,20.89,883.26,1.18,800.79,137.02,62.19
Shropshire,E06000051,1.76,935.38,64.21,0.41,37.94,8.64,953,0.41,814.09,135.48,50.42
Slough,E06000039,2.23,757.87,239.9,2.23,303.45,81.99,610.2,4.36,838.91,116.17,44.91
Solihull,E08000029,2.66,879.55,120.21,0.24,61.3,12.49,925.55,0.66,817.13,130.91,51.96
Somerset West and Taunton,E07000246,1.47,891.28,107.62,1.11,51.43,13.92,933.91,0.74,805.32,142.17,52.51
South Cambridgeshire,E07000012,1.22,951.6,48.2,0.2,83.3,27.09,888.65,0.96,861.74,106.16,32.1
South Derbyshire,E07000039,2.52,957.89,42.09,0.02,32.4,6.12,961.21,0.27,820.46,130.51,49.02
South Gloucestershire,E06000025,1.48,920.04,79.72,0.24,52.54,12.83,934.17,0.45,840.35,117.75,41.9
South Hams,E07000044,0.54,914.68,85.07,0.26,43.67,9.57,946.14,0.61,817.75,133.21,49.04
South Holland,E07000140,2.01,960.21,39.18,0.61,69.92,24.9,904.38,0.79,780.79,158.24,60.97
South Kesteven,E07000141,2.03,942.91,56.85,0.24,52.76,14.79,931.84,0.61,819.39,132.8,47.81
South Lakeland,E07000031,2.55,900.72,98.76,0.52,38.53,9.31,951.68,0.48,818.52,136.19,45.29
South Norfolk,E07000149,1.75,958.77,41.21,0.02,39.28,9.29,951,0.44,821.53,133.66,44.81
South Oxfordshire,E07000179,1.52,916.19,83.61,0.2,70.44,20.75,907.86,0.95,859.17,107.32,33.5
South Ribble,E07000126,2.06,943.2,56.56,0.24,31.28,6.13,962.44,0.15,818.1,130.57,51.32
South Somerset,E07000189,1,923.19,76.52,0.29,45.81,13.14,940.28,0.77,813.57,138.19,48.24
South Staffordshire,E07000196,2.32,929.26,70.62,0.12,23.71,3.83,972.24,0.22,808.48,137.81,53.71
South Tyneside,E08000023,3.02,854.05,145.86,0.09,25.98,7.24,966.49,0.29,757.5,160,82.5
Southampton,E06000045,1.44,701.1,294,4.9,138.86,35.72,824.17,1.25,825.44,123.6,50.96
Southend-on-Sea,E06000033,3.5,749.93,246.42,3.65,74.53,23.28,901.4,0.78,801.98,140.62,57.4
Southwark,E09000028,1.45,296.55,693.11,10.34,301.3,89.4,605.71,3.59,847.11,103.84,49.05
Spelthorne,E07000213,2.13,818.83,180.24,0.94,108.81,30.77,859.11,1.31,838.59,120.39,41.02
